#,paper,Feedback Type,Participants,Time (h),Days,Study Type,Task Category,Task,Measures
39,kuo2019immediate,Vibration,21,2.0,1,lab,PC Tasks,typing task,"posture behaviour (posture angle), comfort"
40,kuo2021sitting,Vibration,21,2.0,1,lab,PC Tasks,typing task,"posture behaviour (posture angle), comfort"
41,jaebonglee2014preventfhp,AU vs. VIB,18,1.5,1,lab,PC Tasks,reading task,"posture behaviour (time in good posture),  usability, comfort"
42,lee2021assistive,VIS + AC + VIB,3,168.0,7,in-situ,PC Tasks,participants' own work,posture behaviour (posture improvement over time) 
43,liao2017collaborative,VIB + VIS + AU,6,120.0,5,in-situ,sedentary work in special contexts,teens' own tasks,posture behaviour (time in good posture) 
44,ng1995evaluation,Active,17,N/A,2,lab,testing / using the feedback,sitting,"comfort , posture behaviour (posture angle)"
45,nizam2020android,VIS + VIB,9,N/A,1,lab,testing / using the feedback,sitting,usability
46,obrien1970behavioral,Vibration,8,4.0,1,in-situ,sedentary work in special contexts,health care workers' daily work,posture behaviour (time in bad posture) 
47,obrien1970behavioral,Vibration,6,1.5,1,in-situ,sedentary work in special contexts,health care workers' daily work,posture behaviour (time in bad posture) 
48,ozgul2022wearable,VIS + VIB + AU,8,1.5,1,lab,testing / using the feedback,sitting,"posture behaviour (time to change posture, posture types)"
49,ribeiro2014effectiveness,Aural,53,"1,008.0",30,in-situ,sedentary work in special contexts,health care workers' daily work,"posture behaviour (posture angle, posture improvement over time) , usability/UX"
50,roossien2017can,VIS + VIB,45,"2,016.0",43,in-situ,PC Tasks,participants' own work,"posture behavior (time in good/ bad posture, frequency of posture change, sitting time) , comfort"
51,shen2021seatplus,VIS + AC,12,0.3,1,in-situ,PC Tasks,participants' own work,"usability/UX, open feedback"
52,shin2018actuating,Active,6,N/A,1,"lab, wizard-of-oz",PC Tasks,reading task,posture behaviour (types of bad posture)
53,shin2018actuating,Active,8,2.5,1,lab,PC Tasks,"typing task, watching video",posture behaviour (types of posture change)
54,shin2019slow,Active,12,8.0,2,lab,PC Tasks,participants' own work,"posture behaviour (time in bad posture), usability/UX, open feedback"
55,shin2020body,Active,12,2.0,1,VR,PC Tasks,reading task,"posture behaviour (types of posture change, frequency of posture change), comfort, task performance"
56,sigurdsson2011generalization,VIS + AU,3,27.0,81,in-situ,PC Tasks,typing task,"posture behaviour (time in good posture, number of interventions)"
57,soltaninejad2018sitlight,Visual,4,2.0,1,lab,PC Tasks,participants' own work,"usability/UX, open feedback"
58,vanderdoelen2011tactile,VIS + VIB,24,"1,008.0",42,in-situ,PC Tasks,participants' own work,posture behaviour (time in good posture) 
59,wang2018virtualspine,Visual,5,24.3,2,in-situ,PC Tasks,participants' own work,"posture behaviour (posture types, time in good posture, time in bad posture, subjective posture) "
60,wu2018activeergo,Active,12,0.1,1,lab,testing / using the feedback,adjusting chair,"usability/UX, posture behaviour (posture angle)"
61,yingzheng2010vibrotactile,Vibration,10,3.0,2,lab,PC Tasks,participants' own work,posture behaviour (time in good posture)
62,yoo2006effects,Aural,20,0.5,1,lab,PC Tasks,"reading task, typing task",posture behaviour (posture angle)
63,zheng2010cognitive,Vibration,20,1.0,1,lab,PC Tasks,typing task,"task performance (typing speed, reaction time) "
64,bailly2016livingdesktop,Active,36,N/A,1,online,testing / using the feedback,evaluation on the feedback,usability/UX
